name;desc;latitude;longitude
1e Middellandstraat;Tramlijn 24, Tramlijn 21, Tramlijn 23 Zone 5300 Halte is rolstoeltoegankelijk.;51,91860367;4,460628961
1e Middellandstraat;Tramlijn 24, Tramlijn 21, Tramlijn 23 Zone 5300 Halte is rolstoeltoegankelijk.;51,91847961;4,459715728
2e Hogenbanweg;Buslijn 32, Buslijn 33, Buslijn 40 Zone 5315 ;51,93653236;4,427655396
2e Hogenbanweg;Buslijn 33, Buslijn 40 Zone 5315 ;51,93687965;4,427255331
Aaksterlaan;BOB-buslijn 19 Zone 5300 ;52,00182727;4,146095384
Abeelweg;Buslijn 35 Zone 5310 ;51,9614059;4,479955699
Abeelweg;Buslijn 35, BOB-buslijn 10 Zone 5300 ;51,96113942;4,48036849
Abel Tasmanlaan;Buslijn 57 Zone 5329 ;51,89981694;4,345775272
Abraham van Stolkweg;Buslijn 32 Zone 5300 ;51,92821503;4,439508331
Abraham van Stolkweg;Buslijn 32 Zone 5300 ;51,92753794;4,439144593
Abtsweg;Buslijn 32, Buslijn 40 Zone 5315 ;51,93358893;4,439336781
Abtsweg;Buslijn 32, Buslijn 40 Zone 5315 ;51,93447608;4,438998144
Achillesstraat;Buslijn 35 Zone 5310 ;51,96234199;4,487139289
Achillesstraat;Buslijn 35 Zone 5310 ;51,96196419;4,487103215
Achtmanstraat;BOB-buslijn 10 Zone 5300 ;51,99915311;4,396826028
Ackerdijkseweg;Buslijn 40 Zone 5426 ;51,97611277;4,383842101
Ackerdijkseweg;Buslijn 40 Zone 5325 ;51,97612114;4,383769138
Ade;BOB-buslijn 10 Zone 5300 ;52,00433381;4,448764276
Admiraal de Ruyterweg;Buslijn 39 Zone 5300 ;51,9267643;4,484740825
Admiraal de Ruyterweg;Buslijn 39, BOB-buslijn 1 Zone 5300 ;51,92677575;4,485060453
Admiraal Helfrichweg;Buslijn 34 Zone 5311 ;51,91207118;4,559697994
Adrianalaan;Buslijn 35 Zone 5310 ;51,96253361;4,472366585
Adrianalaan;Buslijn 35, BOB-buslijn 10 Zone 5300 ;51,96241062;4,472732856
Aert van Nesstraat;Buslijn 34 Zone 5311 ;51,91175134;4,567930136
Afrikaanderplein;Buslijn 77 Zone 5314 ;51,90001205;4,498660304
Afrikaanderplein;Buslijn 77 Zone 5314 ;51,89997041;4,499097036
Ahoy'-complex;Buslijn 70, Buslijn 68, BOB-buslijn 7, BOB-buslijn 11 Zone 5300 ;51,88457409;4,486299176
Ahoy'-complex;Buslijn 70, Buslijn 76, Buslijn 66, Buslijn 77, Buslijn 68 Zone 5314 ;51,8850854;4,487334773
Akkeroord;Buslijn 143, Buslijn 144, Buslijn 145 Zone 5324 ;51,88459438;4,558649322
Akkeroord;Buslijn 143, Buslijn 144, Buslijn 145 Zone 5324 ;51,88489931;4,557278322
Akkeroord;Buslijn 76, Buslijn 70 Zone 5324 ;51,88421035;4,557726788
Akkeroord;Buslijn 76, Buslijn 70 Zone 5324 ;51,88434608;4,557855011
Akkeroord;Deze halte is tijdelijk komen te vervallen Zone 5324 ;51,88489931;4,557278322
Akkeroord;Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.;51,8848271;4,557236079
Akkeroord;Tramlijn 23, Tramlijn 12, BOB-buslijn 16 Zone 5300 Halte is rolstoeltoegankelijk.;51,88459438;4,558649322
Akkersweg;BOB-buslijn 8 Zone 5326 ;51,83694228;4,317135043
Albert Plesmanweg;Buslijn 69 Zone 5316 ;51,87200425;4,436815248
Albert Plesmanweg;Buslijn 69 Zone 5316 ;51,87198093;4,437265904
Albrandswaardsedijk;Buslijn 79 Zone 5316 ;51,84846591;4,400200253
Albrandswaardsedijk;Buslijn 79 Zone 5316 ;51,84837494;4,400071623
Aleidastraat;Buslijn 51 Zone 5319 ;51,91393287;4,388617324
Aleidastraat;Buslijn 51 Zone 5319 ;51,91319003;4,388997199
Alexander;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,95196058;4,55176203
Alexander;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,95196058;4,55176203
Alexandrium I;Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321 ;51,94790592;4,556724846
Alexandrium I;Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321 ;51,94771584;4,556539268
Alexandrium II;Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321 ;51,95071749;4,555189079
Alexandrium II;Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321 ;51,95009197;4,555709796
Alfred Nobelstraat;Buslijn 173 Zone 5330 ;52,01236704;4,53838556
Alfred Nobelstraat;Buslijn 173, BOB-buslijn 17 Zone 5300 ;52,01269825;4,53695174
Algerastraat;Buslijn 53 Zone 5327 ;51,93371083;4,400625082
Algerastraat;Buslijn 53, BOB-buslijn 3 Zone 5300 ;51,93424933;4,400526004
Allard Piersonstraat;Buslijn 32 Zone 5300 ;51,91982894;4,442912387
Allard Piersonstraat;Buslijn 32 Zone 5300 ;51,91968689;4,443133424
Alsemstraat;Buslijn 78 Zone 5326 ;51,86696498;4,345054589
Alsemstraat;Buslijn 78 Zone 5326 ;51,86671034;4,343710139
Ambachtsland;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,96571527;4,569971821
Ambachtsland;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,96571527;4,569971821
Amelandseplein;Buslijn 44 Zone 5314 ;51,88889351;4,482246848
Amelandseplein;Buslijn 44, BOB-buslijn 7, BOB-buslijn 11 Zone 5300 ;51,88870015;4,48281728
Amstelstraat;Buslijn 42 Zone 5315 ;51,93302131;4,414963279
Amstelstraat;Buslijn 42 Zone 5315 ;51,93286015;4,415039474
Amsterdamlaan;Buslijn 57 Zone 5327 ;51,935345;4,349270523
Amsterdamlaan;Buslijn 57, BOB-buslijn 2 Zone 5300 ;51,9353355;4,349212574
Anna Paulownalaan;Buslijn 56 Zone 5327 ;51,92778272;4,344908905
Anna Paulownalaan;Buslijn 56, Buslijn 57, BOB-buslijn 2 Zone 5300 ;51,92710185;4,344154115
Anna Paulownalaan;Buslijn 57, BOB-buslijn 2 Zone 5300 ;51,92844526;4,343599488
Annie van Hattemstraat;BOB-buslijn 8 Zone 5326 ;51,83653602;4,370527456
Anthony Fokkerweg;Buslijn 68, Buslijn 69, Buslijn 71 Zone 5316 ;51,87840023;4,44860388
Anthony Fokkerweg;Buslijn 68, Buslijn 71 Zone 5316 ;51,87857781;4,44720592
Anthony Fokkerweg;Buslijn 69, Buslijn 68 Zone 5316 ;51,87796257;4,447828753
Anthuriumweg;Buslijn 170 Zone 5320 ;52,00687961;4,502397587
Anthuriumweg;Buslijn 170 Zone 5320 ;52,00666282;4,502256217
Antonie Bodaanweg;Buslijn 69 Zone 5316 ;51,87543978;4,432603765
Antonie Bodaanweg;Buslijn 69 Zone 5316 ;51,87534481;4,433085021
Antonius IJsselmonde;BOB-buslijn 16 Zone 5300 ;51,89173791;4,54691019
Antonius IJsselmonde;Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.;51,89213559;4,545958458
Antonius IJsselmonde;Tramlijn 23, Tramlijn 12 Zone 5324 Halte is rolstoeltoegankelijk.;51,89194903;4,546267029
Appeldijk;Buslijn 76 Zone 5324 ;51,8765491;4,544695982
Appeldijk;Buslijn 76 Zone 5324 ;51,87667441;4,544621022
Arendsweg;Buslijn 73, Buslijn 46 Zone 5314 ;51,88685014;4,466832174
Arendsweg;Buslijn 73, Buslijn 46 Zone 5314 ;51,88683455;4,467137542
Argonautenweg;Buslijn 174 Zone 5310 ;51,96014827;4,485902899
Argonautenweg;Buslijn 174 Zone 5310 ;51,9602257;4,485450299
Asterlo;Buslijn 70 Zone 5314 ;51,87351448;4,483514614
Asterlo;Buslijn 70, BOB-buslijn 11 Zone 5300 ;51,87334472;4,483648719
Astertuin;Buslijn 172 Zone 5320 ;51,98699356;4,484227855
Astertuin;Buslijn 172 Zone 5320 ;51,98716465;4,484268086
Atatürkstraat;BOB-buslijn 4 Zone 5300 ;51,9306564;4,560504321
Aula TU;Buslijn 174 Zone 5426 ;52,00298292;4,37158954
Aula TU;Buslijn 174 Zone 5426 ;52,00283863;4,371534554
Aula TU Delft;Buslijn 40 Zone 5426 ;52,003065;4,370684715
Avenue Concordia;BOB-buslijn 4 Zone 5300 ;51,9203085;4,511821887
Avenue Concordia;BOB-buslijn 5, BOB-buslijn 4 Zone 5300 ;51,92049961;4,510931411
Avenue Concordia;Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.;51,92050676;4,510684144
Avenue Concordia;Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.;51,9203085;4,511821887
B.V. Mol;BOB-buslijn 10 Zone 5300 ;52,01556247;4,41684392
Baanweg;Buslijn 32, Buslijn 40 Zone 5315 ;51,93517152;4,42832431
Baanweg;Buslijn 32, Buslijn 40 Zone 5315 ;51,9353203;4,428931892
Baarsweg;Buslijn 78, Buslijn 80 Zone 5326 ;51,85961344;4,354370865
Baarsweg;Buslijn 80, Buslijn 78 Zone 5326 ;51,85973347;4,35473105
Bachplein;Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.;51,93754916;4,371091842
Bachplein;Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.;51,93749926;4,371558337
Baljuwlaan;BOB-buslijn 8 Zone 5326 ;51,84464492;4,311132375
Balthasar van der Polweg;Buslijn 40 Zone 5426 ;51,99546174;4,370827987
Balthasar van der Polweg;Buslijn 40 Zone 5426 ;51,99616719;4,370287773
Barbarakruid;Buslijn 35 Zone 5321 ;51,96105167;4,556074207
Barbarakruid;Buslijn 35, BOB-buslijn 1 Zone 5300 ;51,96109527;4,55588425
Barbeelsingel;Buslijn 80 Zone 5326 ;51,85427656;4,355683606
Barbeelsingel;Buslijn 80 Zone 5326 ;51,85454541;4,355590351
Beelstraat;Buslijn 37 Zone 5321 ;51,93481325;4,553447897
Beelstraat;Buslijn 37 Zone 5321 ;51,93448061;4,55343953
Beemsterhoek;Buslijn 31, BOB-buslijn 4 Zone 5300 ;51,93893072;4,597814239
Begoniastraat;Buslijn 146 Zone 5334 ;51,86669467;4,593317363
Begoniastraat;Buslijn 146, BOB-buslijn 16 Zone 5300 ;51,86617388;4,593399145
Begoniaveld;BOB-buslijn 1 Zone 5300 ;51,97510676;4,623230285
Begraafplaats;Buslijn 174, Buslijn 172 Zone 5320 ;51,98535505;4,499241013
Begraafplaats;Buslijn 174, Buslijn 172, BOB-buslijn 10, BOB-buslijn 17 Zone 5300 ;51,98592289;4,499448142
Begraafplaats Holy;Buslijn 56 Zone 5327 ;51,93786036;4,335949297
Beijerlandselaan;Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.;51,89712844;4,510863854
Beijerlandselaan;Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.;51,89738031;4,510888004
Beltmolen;Buslijn 184 Zone 5328 ;51,85182516;4,531587416
Beltmolen;Buslijn 184, BOB-buslijn 11 Zone 5300 ;51,85177674;4,531109351
Beltmolen;Buslijn 37 Zone 5321 ;51,93770882;4,56639507
Beltmolen;Buslijn 37 Zone 5321 ;51,93769115;4,56643902
Beltmolen;Buslijn 37 Zone 5321 ;51,93735567;4,566023424
Beltmolen;Buslijn 37 Zone 5321 ;51,93731972;4,566024081
Benedenrijweg;Buslijn 140 Zone 5324 ;51,89412424;4,584813558
Benedenrijweg;Buslijn 144 Zone 5324 ;51,89341119;4,585697964
Benedenrijweg;Buslijn 144, Buslijn 140 Zone 5324 ;51,89316749;4,584234982
Benthuizerstraat;Tramlijn 8 Zone 5300 ;51,93554933;4,479300158
Benthuizerstraat;Tramlijn 8 Zone 5300 ;51,93525398;4,479466087
Bentinckplein;Buslijn 33 Zone 5300 ;51,92672755;4,461522759
Bentinckplein;Buslijn 33, Buslijn 44, Buslijn 39 Zone 5300 ;51,92578423;4,461585812
Bentinckplein;Buslijn 44 Zone 5300 ;51,92629862;4,46070288
Bentinckplein;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92643486;4,462023114
Bentinckplein;Deze halte is tijdelijk komen te vervallen Zone 5300 ;51,92583793;4,461555628
Bergpolderplein;Buslijn 35, Buslijn 174, BOB-buslijn 10 Zone 5300 ;51,94535489;4,475669263
